username,placeLocation,latitude,longitude,code
thehunk32,"Tel Aviv, Israel",32.0852997,34.7818064,
thehunk32,"Tel Aviv, Israel",32.0852997,34.7818064,
thehunk32,"Budapest, Hungary",47.4983815,19.0404707,
thehunk32,"Budapest, Hungary",47.4983815,19.0404707,
thehunk32,"Athens, Greece",37.9839412,23.7283052,
thehunk32,"Athens, Greece",37.9839412,23.7283052,
thehunk32,"Athens, Greece",37.9839412,23.7283052,
thehunk32,"Split, Croatia",43.5116383,16.4399659,
thehunk32,"Split, Croatia",43.5116383,16.4399659,
thehunk32,"Rome, Italy",41.8933203,12.4829321,
thehunk32,"Budapest, Hungary",47.4983815,19.0404707,
thehunk32,World,25.2528888,55.17696777178696,
thehunk32,"Milan, Italy",45.4668,9.1905,
thehunk32,"Budapest, Hungary",47.4983815,19.0404707,
JuliusKeijzer,"Lagos, Portugal",37.15313005,-8.741896477086119,NL
JuliusKeijzer,"Athens, Greece",37.9839412,23.7283052,NL
JuliusKeijzer,"Athens, Greece",37.9839412,23.7283052,NL
JuliusKeijzer,"Athens, Greece",37.9839412,23.7283052,NL
JuliusKeijzer,"New York City, New York",40.7127281,-74.0060152,NL
JuliusKeijzer,"New York City, New York",40.7127281,-74.0060152,NL
339josephm,"Tierra Verde, Florida",27.6919746,-82.7234337,US
339josephm,"Arcadia, Florida",27.2244502,-81.86105273443341,US
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US
339josephm,"St. Pete Beach, Florida",27.7253065,-82.741212,US
339josephm,"Kittery, Maine",43.088448,-70.736847,US
339josephm,"Kingston, New York",41.9287812,-74.0023702,US
339josephm,"Red Hook, New York",40.6751032,-74.0095841,US
339josephm,"Barnstable, Massachusetts",41.7001132,-70.2994666,US
339josephm,"Maynard, Massachusetts",42.4321064,-71.4539683,US
339josephm,"Red Hook, New York",40.6751032,-74.0095841,US
339josephm,"Kingston, New York",41.9287812,-74.0023702,US
339josephm,"Red Hook, New York",40.6751032,-74.0095841,US
339josephm,"New London, Connecticut",41.331256,-72.09643715791685,US
339josephm,"Germantown, New York",42.1345339,-73.8917982,US
339josephm,"Germantown, New York",42.1345339,-73.8917982,US
339josephm,"Stanfordville, New York",41.8673152,-73.7142954,US
339josephm,"Saugerties, New York",42.0775906,-73.9529126,US
339josephm,"Tivoli, New York",42.058528,-73.908913,US
339josephm,"West Springfield, Massachusetts",42.105237,-72.6213712,US
339josephm,"Saugerties, New York",42.0775906,-73.9529126,US
339josephm,"Lake Katrine, New York",41.988841,-73.99046231543329,US
339josephm,"Ghent, New York",42.3292525,-73.6156736,US
339josephm,"Hopewell Junction, New York",41.584752,-73.80004907608696,US
339josephm,"Harpswell, Maine",43.8075279,-69.9348805,US
339josephm,"Kittery, Maine",43.088448,-70.736847,US
339josephm,"Mashpee, Massachusetts",41.6484421,-70.4811383,US
339josephm,"Rangeley, Maine",44.966741,-70.643463,US
339josephm,"Stratton, Maine",45.1411653,-70.4406231,US
339josephm,"Rangeley, Maine",44.966741,-70.643463,US
339josephm,"Norway, Maine",44.214202,-70.545273,US
339josephm,"Hyannis, Massachusetts",41.651513,-70.2825918,US
339josephm,"Eastham, Massachusetts",41.8301081,-69.973907,US
339josephm,"Truro, Massachusetts",41.993437,-70.0497457,US
339josephm,"Wellfleet, Massachusetts",41.9376051,-70.0327996,US
339josephm,"Eastham, Massachusetts",41.8301081,-69.973907,US
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US
339josephm,"St. Pete Beach, Florida",27.7253065,-82.741212,US
339josephm,"Indian Rocks Beach, Florida",27.891338,-82.84518880012078,US
339josephm,"St. Petersburg, Florida",27.7703796,-82.6695085,US
339josephm,"Tampa, Florida",27.9477595,-82.458444,US
339josephm,"Hyannis, Massachusetts",41.651513,-70.2825918,US
339josephm,"Plymouth, Massachusetts",41.9583799,-70.6673851,US
339josephm,"Onset, Massachusetts",41.7417714,-70.6578104,US
339josephm,"Sandwich, Massachusetts",41.7579043,-70.4968152,US
339josephm,"Hyannis, Massachusetts",41.651513,-70.2825918,US
